Time,X,Y,Z,Sound
12460,9.59,-0.86,-1.72,0.13
12490,9.49,-0.85,-1.75,0.21
12520,9.62,-0.90,-1.72,0.25
12551,9.65,-0.77,-1.70,0.23
12580,9.47,-0.92,-1.73,0.19
12611,9.49,-0.71,-1.65,0.42
12641,9.66,-0.86,-1.75,0.36
12672,9.73,-0.74,-1.74,0.07
12701,9.51,-0.88,-1.68,0.39
12731,9.53,-0.98,-1.75,0.29
12762,9.71,-0.76,-1.73,0.38
12791,9.62,-0.73,-1.69,0.31
12822,9.67,-0.78,-1.69,0.36
12852,9.74,-0.84,-1.71,0.24
12882,9.73,-0.80,-1.74,0.37
12912,9.53,-0.73,-1.62,0.18
12943,9.71,-0.85,-1.74,0.30
12973,9.80,-0.82,-1.72,0.37
13003,9.62,-0.93,-1.76,0.25
13033,9.61,-0.79,-1.75,0.13
13063,9.71,-0.82,-1.77,0.25
13093,9.71,-0.73,-1.73,0.24
13123,9.42,-0.85,-1.67,0.19
13154,9.61,-0.88,-1.69,0.25
13184,9.67,-0.76,-1.69,0.20
13214,9.51,-0.85,-1.81,0.11
13244,9.53,-0.76,-1.73,0.11
13275,9.63,-0.91,-1.66,0.19
13304,9.75,-0.77,-1.67,0.08
13335,9.43,-0.87,-1.69,0.22
13365,9.64,-0.76,-1.68,0.23
13394,9.71,-0.72,-1.69,0.32
13425,9.53,-0.94,-1.83,0.14
13455,9.46,-0.76,-1.64,0.20
13486,9.60,-0.81,-1.74,0.33
13515,9.76,-0.86,-1.74,0.26
13546,9.45,-0.96,-1.76,0.22
13576,9.53,-0.91,-1.63,0.25
13606,9.74,-0.82,-1.74,0.27
13636,9.51,-0.85,-1.69,0.35
13667,9.42,-0.82,-1.74,0.26
13697,9.61,-0.88,-1.77,0.33
13726,9.68,-0.77,-1.78,0.26
13757,9.39,-1.00,-1.76,0.34
13787,9.59,-0.90,-1.70,0.20
13817,9.69,-0.83,-1.77,0.27
13847,9.56,-0.87,-1.73,0.26
13878,9.55,-0.70,-1.65,0.20
13907,9.62,-0.96,-1.75,0.08
13938,9.74,-0.78,-1.69,0.21
13968,9.61,-0.81,-1.68,0.22
13999,9.55,-0.69,-1.75,0.10
14028,9.76,-0.83,-1.76,0.16
14058,9.52,-0.88,-1.83,0.09
14089,9.50,-0.66,-1.81,0.29
14118,9.58,-0.83,-1.77,0.18
14149,9.71,-0.76,-1.75,0.34
14179,9.53,-0.74,-1.81,0.32
14210,9.57,-0.73,-1.61,0.26
14239,9.69,-0.69,-1.68,0.31
14270,9.55,-0.79,-1.86,0.25
14300,9.51,-0.81,-1.68,0.26
14330,9.62,-0.86,-1.74,0.25
14360,9.73,-0.76,-1.85,0.33
14390,9.57,-0.88,-1.68,0.33
14420,9.56,-0.89,-1.67,0.13
14450,9.62,-0.89,-1.76,0.10
14481,9.67,-0.78,-1.73,0.35
14511,9.61,-0.82,-1.65,0.21
14541,9.67,-0.93,-1.69,0.10
14571,9.79,-0.89,-1.81,0.22
14602,9.49,-0.91,-1.78,0.27
14631,9.64,-0.70,-1.73,0.28
14661,9.77,-0.82,-1.84,0.26
14692,9.62,-0.73,-1.74,0.12
14722,9.54,-0.74,-1.68,0.20
14752,9.67,-0.78,-1.74,0.17
14782,9.81,-0.83,-1.68,0.26
14813,9.57,-0.74,-1.70,0.22
14842,9.51,-0.85,-1.68,0.29
14873,9.67,-0.97,-1.82,0.42
14903,9.54,-0.92,-1.68,0.36
14934,9.49,-0.77,-1.74,0.57
14963,9.60,-0.92,-1.78,0.40
14993,9.68,-0.83,-1.72,0.40
15024,9.59,-0.86,-1.79,0.09
15053,9.51,-0.79,-1.63,0.14
15084,9.62,-0.81,-1.79,0.10
15114,9.58,-0.88,-1.69,0.11
15144,9.56,-0.85,-1.67,0.22
15174,9.66,-0.84,-1.68,0.20
15205,9.73,-0.74,-1.67,0.25
15235,9.60,-0.85,-1.66,0.21
15265,9.48,-0.79,-1.67,0.21
15295,9.63,-0.80,-1.75,0.26
15325,9.60,-0.83,-1.71,0.18
15355,9.46,-0.85,-1.74,0.23
15385,9.44,-0.78,-1.80,0.37
15416,9.62,-0.76,-1.78,0.33
15446,9.60,-0.91,-1.81,0.39
15476,9.51,-0.73,-1.77,0.41
15506,9.66,-0.81,-1.68,0.23
15537,9.64,-0.88,-1.74,0.30
15566,9.54,-0.78,-1.76,0.37
15597,9.61,-0.91,-1.69,0.23
15627,9.85,-0.78,-1.70,0.31
15656,9.64,-0.83,-1.69,0.11
15687,9.58,-0.72,-1.68,0.08
15717,9.65,-0.80,-1.78,0.30
15748,9.58,-0.85,-1.78,0.19
15777,9.49,-0.83,-1.67,0.28
15808,9.65,-0.79,-1.74,0.25
15838,9.73,-0.82,-1.75,0.20
15868,9.56,-0.91,-1.66,0.25
15898,9.60,-0.71,-1.71,0.49
15929,9.66,-0.86,-1.82,0.23
15959,9.64,-0.87,-1.70,0.22
15988,9.50,-0.72,-1.69,0.71
16019,9.56,-0.92,-1.73,0.19
16049,9.63,-0.82,-1.87,0.10
16079,9.46,-0.85,-1.75,0.12
16109,9.48,-0.87,-1.86,0.20
16140,9.67,-0.91,-1.88,0.07
16169,9.55,-0.86,-1.68,0.10
16200,9.63,-0.83,-1.77,0.25
16230,9.62,-0.89,-1.67,0.25
16261,9.73,-0.85,-1.75,0.28
16290,9.58,-0.85,-1.70,0.20
16320,9.55,-0.68,-1.72,0.27
16350,6.13,1.23,0.24,0.48
16378,9.53,-0.82,-0.00,0.40
16408,19.13,-1.58,-3.63,0.42
16440,19.17,-1.88,-2.47,0.48
16472,9.64,-0.83,-1.75,0.46
16501,9.46,-0.85,-1.67,0.46
""
