"Time,X,Y,Z,Sound"
"24340,6.14,1.54,-1.09,2.50"
"24445,8.47,2.18,0.38,2.49"
"24550,12.80,-5.66,-2.37,2.52"
"24655,4.37,-0.66,-2.85,2.49"
"24760,10.29,6.80,-0.07,2.49"
"24865,12.34,-0.69,-3.90,2.49"
"24971,7.56,-3.50,-2.01,2.50"
"25075,10.58,0.14,0.11,2.52"
"25181,8.40,0.99,-5.36,2.51"
"25285,13.34,3.28,-5.67,2.51"
"25391,9.50,-2.74,-5.57,2.50"
"25495,6.88,-0.32,-4.09,2.51"
"25600,11.95,-0.99,-4.78,2.50"
"25705,13.64,0.57,-1.07,2.50"
"25810,11.12,1.47,0.36,2.51"
"25915,7.82,-0.22,-3.10,2.51"
"26020,9.80,1.23,-2.56,2.49"
"26125,12.41,-2.38,-5.71,2.51"
"26230,9.22,1.61,-1.36,2.50"
"26335,11.10,-2.67,3.21,2.51"
"26440,9.02,0.58,-1.06,2.50"
"26545,8.32,3.42,0.32,2.51"
"26650,8.69,4.04,0.45,2.51"
"26755,10.73,-1.67,-0.13,2.49"
"26860,3.83,1.29,-4.29,2.51"
"26964,5.70,0.06,-3.52,2.51"
"27070,10.61,-3.01,-5.32,2.50"
"27174,7.50,0.13,-5.06,2.50"
"27280,10.96,-3.10,-2.84,2.50"
"27384,8.41,0.64,-5.74,2.48"
"27490,10.52,-1.17,-4.10,2.50"
"27594,9.63,-3.53,-4.59,2.51"
"27700,11.25,4.69,2.56,2.51"
"27804,10.10,1.67,-0.64,2.50"
"27910,11.87,-1.14,-4.21,2.50"
"28014,9.03,0.76,-3.51,2.50"
"28120,10.83,2.21,-0.49,2.51"
"28224,13.52,-1.05,0.44,2.52"
"28329,8.15,-0.20,-4.89,2.49"
"28434,10.82,2.48,-1.40,2.48"
"28539,13.05,0.33,-1.99,2.50"
"28644,8.61,-1.61,-5.85,2.50"
"28749,9.65,1.60,-2.99,2.51"
"28854,6.48,-4.27,-2.36,2.50"
"28959,9.46,0.10,-6.38,2.51"
"29064,10.04,-1.19,-1.02,2.51"
"29169,8.39,0.38,-2.81,2.49"
"29274,10.93,0.36,-3.38,2.50"
"29379,8.90,0.92,-3.69,2.50"
"29484,9.85,1.52,-2.29,2.50"
"29589,7.04,-0.14,-3.78,2.51"
"29693,8.76,-0.55,-0.62,2.51"
"29799,7.11,1.71,-1.58,2.50"
"29903,6.06,-0.57,-2.35,2.50"
"30009,15.51,0.69,-2.06,2.49"
"30113,9.25,2.70,1.39,2.51"
"30219,11.24,-0.26,-4.37,2.46"
"30323,9.48,0.45,-2.19,2.50"
"30429,13.88,0.42,-4.59,2.50"
"30533,11.96,0.63,0.72,2.52"
"30639,8.28,-0.14,-6.73,2.51"
"30743,9.89,2.22,1.22,2.51"
"30849,10.68,3.45,-0.66,2.51"
"30953,6.11,3.95,-2.15,2.50"
"31057,8.51,0.46,-0.53,2.50"
"Time,X,Y,Z,Sound"
"308,0.00,0.64,0.00,2.49"
"412,9.12,0.84,-0.99,2.50"
"517,9.29,3.37,-0.30,2.48"
"622,10.73,0.69,0.73,2.49"
"727,8.08,3.64,2.41,2.51"
"832,9.06,1.13,-1.56,2.49"
"936,13.47,-2.19,-3.02,2.51"
"1041,4.62,6.22,2.07,2.51"
