Time,X,Y,Z,Sound
9789,7.44,-3.71,-3.25,2.54
9819,11.03,0.65,-0.10,2.53
9847,8.98,2.43,-3.62,2.54
9876,13.50,-3.42,5.93,2.53
9905,8.62,-0.02,0.54,2.54
9932,9.89,-1.25,-3.66,2.54
9962,12.52,-0.80,-1.43,2.54
9992,15.25,-2.16,4.30,2.53
10021,12.58,-1.70,2.73,2.54
10051,10.68,-3.16,1.85,2.55
10082,6.33,-1.99,-1.92,2.54
10112,7.90,-6.66,-5.24,2.55
10142,4.73,-3.06,-0.76,2.55
10172,5.98,-1.10,-1.37,2.54
10202,12.81,-4.88,-2.53,2.54
10233,12.10,1.85,0.37,2.54
10262,10.61,0.86,0.27,2.53
10292,11.22,-5.07,-5.56,2.53
10322,8.66,-5.11,1.10,2.53
10352,8.83,1.71,-1.86,2.54
10381,11.11,-1.70,0.48,2.54
10412,10.27,-1.27,-4.43,2.54
10442,11.42,-0.92,0.32,2.54
10473,9.71,-0.60,-4.81,2.53
10503,9.57,-3.01,-2.53,2.55
10532,10.29,-2.93,-1.80,2.53
10564,5.96,-3.79,1.13,2.54
10593,8.65,-0.36,-0.12,2.54
10624,8.97,-2.41,-2.85,2.54
10653,8.33,-2.93,-2.58,2.54
10684,12.10,-5.65,-4.18,2.52
10715,12.15,-5.59,-4.00,2.54
10746,8.97,-1.61,-4.98,2.54
10776,7.09,2.23,-3.41,2.53
10806,8.29,-0.28,-5.30,2.54
10835,7.56,-2.53,-3.57,2.54
10865,9.72,2.76,1.69,2.53
10894,11.12,1.57,-0.49,2.54
10924,7.59,0.35,0.47,2.55
10952,11.16,-4.91,-5.02,2.54
10983,6.80,-2.87,-0.40,2.54
11014,5.22,-7.14,-3.21,2.53
11043,8.67,-3.25,-2.79,2.55
11074,10.97,-3.59,-6.95,2.53
11105,6.05,-3.65,-6.54,2.53
11134,5.96,-0.43,-4.37,2.54
11165,7.11,-0.79,-5.77,2.53
11195,11.06,-2.99,-3.71,2.53
11227,6.71,1.48,1.34,2.54
11254,13.23,-0.54,-1.05,2.53
11286,5.31,-2.30,0.48,2.54
11315,8.43,-7.89,-5.88,2.55
11345,4.09,-0.66,1.16,2.54
11374,8.19,-2.18,-4.26,2.54
11405,10.61,0.85,1.51,2.55
11433,16.17,-0.95,1.96,2.54
11463,14.26,-2.21,-6.54,2.52
11495,13.21,-1.63,-2.19,2.53
11526,10.32,1.00,0.95,2.52
11555,10.00,0.11,0.51,2.54
11584,9.66,-3.38,-0.48,2.53
11615,13.97,-4.54,-4.34,2.54
11645,11.20,-0.05,-2.85,2.54
11677,11.48,-2.30,3.55,2.54
11707,14.40,-1.81,2.07,2.55
11738,5.41,1.22,-4.07,2.53
11766,9.10,0.22,-1.95,2.54
11795,9.05,1.85,1.68,2.54
11824,12.24,0.39,1.39,2.55
11852,17.46,0.33,1.16,2.53
11882,11.66,1.31,3.70,2.53
