"179.33,0.54,-9.74,0.19,0.52,-9.75,0.33,2.59,2.53"
"180.34,0.53,-9.78,0.22,0.56,-9.84,0.27,2.58,2.52"
"181.35,0.58,-9.82,0.21,0.54,-9.72,0.22,2.58,2.53"
"182.36,0.55,-9.79,0.27,0.61,-9.78,0.33,2.58,2.53"
"183.37,0.55,-9.81,0.28,0.59,-9.80,0.29,2.59,2.53"
"184.38,0.56,-9.80,0.23,0.54,-9.77,0.18,2.58,2.53"
"185.39,0.60,-9.76,0.26,0.55,-9.74,0.29,2.59,2.53"
"186.40,0.44,-9.74,0.19,0.55,-9.67,0.19,2.58,2.53"
"187.41,0.54,-9.78,0.33,0.50,-9.80,0.31,2.59,2.53"
"188.42,0.62,-9.85,0.25,0.53,-9.75,0.31,2.58,2.52"
"189.43,0.63,-9.80,0.24,0.57,-9.82,0.25,2.59,2.53"
"190.44,0.62,-9.84,0.25,0.58,-9.81,0.22,2.59,2.53"
"191.45,0.55,-9.86,0.22,0.54,-9.84,0.19,2.58,2.53"
"192.46,0.58,-9.79,0.23,0.58,-9.83,0.31,2.59,2.53"
"193.47,0.53,-9.75,0.25,0.52,-9.77,0.21,2.58,2.52"
"194.48,0.58,-9.78,0.16,0.52,-9.83,0.34,2.59,2.53"
"195.49,0.49,-9.67,0.24,0.46,-9.62,0.17,2.58,2.53"
"196.50,0.59,-9.74,0.34,0.57,-9.87,0.23,2.59,2.53"
"197.51,0.57,-9.69,0.25,0.55,-9.71,0.29,2.59,2.53"
"198.52,0.59,-9.73,0.20,0.57,-9.81,0.36,2.58,2.53"
"199.53,0.59,-9.90,0.30,0.57,-9.85,0.28,2.59,2.53"
"200.54,0.55,-9.78,0.17,0.55,-9.76,0.19,2.58,2.52"
"201.55,0.48,-9.78,0.11,0.56,-9.69,0.16,2.58,2.53"
"202.55,0.55,-9.76,0.17,0.51,-9.70,0.21,2.59,2.53"
"203.57,0.60,-9.82,0.23,0.54,-9.79,0.26,2.59,2.53"
"204.57,0.53,-9.79,0.30,0.57,-9.79,0.22,2.59,2.53"
"205.58,0.54,-9.70,0.25,0.48,-9.72,0.31,2.59,2.53"
"206.59,0.63,-9.81,0.27,0.59,-9.74,0.27,2.58,2.53"
"207.60,0.57,-9.82,0.19,0.59,-9.80,0.35,2.59,2.53"
"208.61,0.56,-9.80,0.12,0.57,-9.85,0.30,2.59,2.53"
"209.62,0.57,-9.81,0.27,0.55,-9.72,0.30,2.59,2.53"
"210.63,0.54,-9.74,0.29,0.51,-9.71,0.32,2.58,2.53"
"211.64,0.55,-9.79,0.24,0.57,-9.70,0.34,2.59,2.53"
"212.65,0.54,-9.75,0.17,0.59,-9.77,0.31,2.59,2.53"
"213.66,0.62,-9.80,0.24,0.59,-9.84,0.29,2.58,2.53"
"214.67,0.51,-9.81,0.29,0.54,-9.73,0.28,2.58,2.53"
"215.68,0.60,-9.87,0.28,0.60,-9.80,0.26,2.58,2.53"
"216.69,0.56,-9.83,0.24,0.56,-9.84,0.32,2.59,2.53"
"217.70,0.59,-9.72,0.32,0.58,-9.71,0.29,2.58,2.53"
"218.71,0.57,-9.79,0.23,0.58,-9.71,0.21,2.59,2.53"
"219.72,0.54,-9.74,0.30,0.55,-9.76,0.18,2.59,2.53"
"220.73,0.57,-9.78,0.32,0.58,-9.73,0.20,2.58,2.53"
"221.74,0.53,-9.80,0.38,0.54,-9.83,0.22,2.59,2.53"
"222.75,0.62,-9.76,0.30,0.56,-9.81,0.25,2.59,2.53"
"223.76,0.56,-9.76,0.35,0.53,-9.73,0.28,2.59,2.53"
"224.77,0.55,-9.73,0.29,0.56,-9.84,0.17,2.58,2.53"
"225.78,0.60,-9.75,0.21,0.56,-9.74,0.26,2.59,2.53"
"226.79,0.56,-9.81,0.24,0.53,-9.83,0.23,2.59,2.53"
"227.80,0.55,-9.80,0.19,0.59,-9.86,0.26,2.58,2.52"
"228.81,0.52,-9.69,0.32,0.56,-9.77,0.24,2.58,2.53"
"229.82,0.59,-9.80,0.25,0.50,-9.69,0.24,2.59,2.53"
"230.83,0.57,-9.72,0.29,0.64,-9.79,0.21,2.59,2.53"
"231.84,0.53,-9.74,0.25,0.57,-9.73,0.31,2.59,2.53"
"232.85,0.58,-9.77,0.29,0.55,-9.72,0.26,2.58,2.52"
"233.86,0.60,-9.82,0.23,0.62,-9.79,0.20,2.59,2.53"
"234.87,0.48,-9.68,0.27,0.51,-9.73,0.24,2.59,2.53"
"235.88,0.54,-9.76,0.24,0.55,-9.76,0.30,2.59,2.53"
"236.88,0.53,-9.79,0.23,0.55,-9.78,0.28,2.59,2.53"
"237.89,0.54,-9.76,0.37,0.52,-9.77,0.29,2.58,2.53"
"238.90,0.56,-9.72,0.21,0.54,-9.76,0.36,2.59,2.53"
"239.91,0.57,-9.82,0.18,0.51,-9.73,0.28,2.59,2.53"
"240.92,0.57,-9.88,0.22,0.57,-9.86,0.26,2.59,2.53"
"241.93,0.52,-9.70,0.25,0.55,-9.84,0.27,2.59,2.53"
"242.94,0.57,-9.78,0.23,0.50,-9.66,0.26,2.58,2.53"
"243.95,0.58,-9.71,0.28,0.58,-9.81,0.24,2.59,2.53"
"244.96,0.62,-9.83,0.23,0.53,-9.84,0.17,2.58,2.53"
"245.97,0.55,-9.83,0.29,0.54,-9.79,0.20,2.58,2.53"
"246.98,0.61,-9.81,0.31,0.54,-9.81,0.22,2.58,2.53"
"247.99,0.58,-9.76,0.19,0.55,-9.71,0.18,2.59,2.53"
"249.00,0.53,-9.69,0.24,0.58,-9.78,0.21,2.59,2.53"
"250.01,0.52,-9.83,0.34,0.57,-9.85,0.25,2.59,2.53"
"251.02,0.58,-9.76,0.26,0.56,-9.77,0.31,2.58,2.53"
"252.03,0.60,-9.82,0.30,0.54,-9.73,0.20,2.58,2.53"
"253.04,0.57,-9.78,0.31,0.58,-9.77,0.19,2.59,2.53"
"254.05,0.59,-9.76,0.31,0.56,-9.74,0.29,2.59,2.53"
"255.06,0.52,-9.76,0.26,0.62,-9.80,0.29,2.58,2.53"
"256.07,0.60,-9.77,0.24,0.56,-9.84,0.21,2.58,2.53"
"257.08,0.51,-9.76,0.26,0.56,-9.83,0.26,2.58,2.53"
"258.09,0.57,-9.83,0.34,0.56,-9.77,0.30,2.59,2.53"
"259.10,0.62,-9.82,0.34,0.64,-9.76,0.34,2.58,2.53"
"260.11,0.57,-9.75,0.20,0.52,-9.79,0.36,2.58,2.53"
"261.12,0.54,-9.74,0.30,0.55,-9.73,0.32,2.59,2.53"
"262.13,0.63,-9.75,0.24,0.54,-9.76,0.33,2.59,2.53"
"263.14,0.59,-9.84,0.16,0.50,-9.67,0.29,2.58,2.53"
"264.15,0.58,-9.82,0.21,0.62,-9.92,0.28,2.59,2.53"
"265.16,0.53,-9.72,0.26,0.59,-9.85,0.21,2.59,2.53"
